date,Faecalibacterium,Bacteroides,Prevotella,Bifidobacterium,Roseburia,Blautia,Ruminococcus,Eubacterium,Akkermansia,Lactobacillus,Altri,drv_fiber,drv_plants,drv_ferment,drv_upf,drv_animal
2025-01-06,14.7,7.34,17.31,5.96,9.45,8.91,9.33,7.77,3.02,0.98,15.24,1.0,0.493,0.137,0.75,0.159
2025-01-07,14.77,7.26,17.34,6.0,9.46,8.89,9.3,7.77,3.04,0.98,15.18,1.0,0.497,0.143,0.738,0.156
2025-01-08,14.59,7.33,17.52,5.91,9.41,8.93,9.36,7.74,2.99,0.97,15.25,1.0,0.5,0.138,0.769,0.151
2025-01-09,14.59,7.32,17.55,5.89,9.41,8.94,9.36,7.74,2.99,0.97,15.24,1.0,0.503,0.136,0.771,0.151
2025-01-10,14.47,7.32,17.73,5.85,9.38,8.95,9.39,7.72,2.97,0.97,15.26,1.0,0.507,0.138,0.79,0.143
2025-01-11,14.68,7.19,17.67,5.93,9.43,8.89,9.33,7.74,3.02,0.97,15.14,1.0,0.51,0.142,0.756,0.141
2025-01-12,14.71,7.16,17.7,5.92,9.43,8.89,9.32,7.74,3.03,0.97,15.12,1.0,0.513,0.141,0.753,0.139
2025-01-13,14.78,7.09,17.73,5.96,9.45,8.86,9.29,7.75,3.05,0.98,15.06,1.0,0.517,0.148,0.741,0.135
2025-01-14,15.01,6.96,17.65,6.05,9.5,8.79,9.23,7.78,3.11,0.99,14.93,1.0,0.52,0.153,0.706,0.134
2025-01-15,15.01,6.95,17.68,6.04,9.5,8.8,9.23,7.77,3.12,0.99,14.92,1.0,0.523,0.151,0.707,0.133
2025-01-16,14.82,7.01,17.86,5.94,9.45,8.85,9.28,7.74,3.07,0.98,14.99,1.0,0.527,0.147,0.738,0.129
2025-01-17,15.04,6.89,17.79,6.02,9.5,8.79,9.22,7.77,3.13,0.98,14.87,1.0,0.53,0.15,0.704,0.127
2025-01-18,15.06,6.86,17.83,6.02,9.51,8.78,9.22,7.77,3.14,0.98,14.84,1.0,0.533,0.15,0.702,0.125
2025-01-19,15.13,6.79,17.86,6.05,9.52,8.75,9.19,7.77,3.16,0.99,14.79,1.0,0.537,0.155,0.691,0.121
2025-01-20,15.35,6.67,17.78,6.14,9.57,8.69,9.13,7.8,3.22,1.0,14.66,1.0,0.54,0.16,0.655,0.119
2025-01-21,15.58,6.57,17.64,6.23,9.62,8.64,9.06,7.82,3.28,1.01,14.55,1.0,0.543,0.164,0.621,0.122
2025-01-22,15.39,6.63,17.83,6.13,9.58,8.68,9.12,7.8,3.23,1.0,14.62,1.0,0.547,0.16,0.653,0.117
2025-01-23,15.39,6.62,17.86,6.11,9.58,8.69,9.12,7.79,3.23,0.99,14.61,1.0,0.55,0.158,0.654,0.117
2025-01-24,15.41,6.6,17.9,6.11,9.58,8.68,9.11,7.79,3.24,0.99,14.58,1.0,0.553,0.158,0.651,0.115
2025-01-25,15.48,6.53,17.93,6.14,9.59,8.66,9.09,7.8,3.26,1.0,14.52,1.0,0.557,0.162,0.641,0.111
2025-01-26,15.51,6.47,18.01,6.14,9.59,8.64,9.08,7.79,3.27,1.0,14.49,1.0,0.56,0.163,0.637,0.105
2025-01-27,15.73,6.38,17.88,6.23,9.65,8.59,9.02,7.82,3.33,1.01,14.37,1.0,0.563,0.168,0.602,0.107
2025-01-28,15.81,6.31,17.9,6.27,9.66,8.56,8.99,7.82,3.36,1.01,14.31,1.0,0.567,0.174,0.59,0.104
2025-01-29,15.81,6.31,17.93,6.25,9.66,8.56,8.99,7.82,3.36,1.01,14.3,1.0,0.57,0.172,0.592,0.103
2025-01-30,15.62,6.37,18.12,6.16,9.61,8.61,9.05,7.79,3.31,1.0,14.37,1.0,0.573,0.167,0.623,0.099
2025-01-31,15.62,6.37,18.12,6.16,9.61,8.61,9.05,7.79,3.31,1.0,14.37,1.0,0.573,0.167,0.623,0.099
2025-02-01,15.81,6.3,17.97,6.25,9.65,8.56,8.99,7.82,3.36,1.01,14.28,1.0,0.574,0.174,0.593,0.102
2025-02-02,15.81,6.27,18.03,6.24,9.65,8.56,8.99,7.81,3.37,1.01,14.26,1.0,0.577,0.173,0.593,0.098
2025-02-03,16.02,6.2,17.87,6.32,9.7,8.51,8.93,7.84,3.42,1.02,14.16,1.0,0.579,0.178,0.562,0.103
2025-02-04,16.04,6.19,17.89,6.32,9.7,8.51,8.93,7.83,3.43,1.02,14.13,1.0,0.583,0.18,0.56,0.103
2025-02-05,16.04,6.16,17.98,6.3,9.7,8.51,8.93,7.83,3.43,1.01,14.11,1.0,0.588,0.178,0.562,0.099
2025-02-06,16.03,6.16,18.0,6.28,9.7,8.51,8.93,7.83,3.43,1.01,14.11,1.0,0.589,0.176,0.564,0.098
2025-02-07,16.22,6.1,17.83,6.38,9.74,8.46,8.88,7.85,3.48,1.02,14.04,1.0,0.587,0.182,0.534,0.101
2025-02-08,16.2,6.08,17.87,6.39,9.73,8.45,8.88,7.85,3.48,1.02,14.04,1.0,0.584,0.182,0.534,0.097
2025-02-09,16.39,6.02,17.7,6.47,9.78,8.41,8.83,7.87,3.52,1.03,13.97,1.0,0.582,0.185,0.505,0.101
2025-02-10,16.39,6.02,17.68,6.49,9.78,8.4,8.82,7.88,3.52,1.04,13.98,1.0,0.58,0.187,0.503,0.101
2025-02-11,16.59,5.97,17.49,6.58,9.82,8.36,8.77,7.9,3.57,1.05,13.9,1.0,0.578,0.192,0.472,0.106
2025-02-12,16.57,5.97,17.5,6.58,9.82,8.36,8.77,7.9,3.57,1.05,13.92,1.0,0.576,0.19,0.474,0.105
2025-02-13,16.55,5.98,17.5,6.59,9.81,8.36,8.77,7.9,3.56,1.05,13.93,1.0,0.573,0.192,0.476,0.104
2025-02-14,16.54,5.96,17.54,6.59,9.81,8.35,8.77,7.9,3.56,1.05,13.94,1.0,0.571,0.191,0.476,0.1
2025-02-15,16.72,5.9,17.37,6.67,9.85,8.3,8.72,7.92,3.6,1.06,13.87,1.0,0.569,0.194,0.446,0.103
